Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
Clerks,1994,Comedy,92 min,7.7,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
Andhadhun,2018,"Crime, Drama, Music",139 min,8.3,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
8½,1963,Drama,138 min,8.0,A harried movie director retreats into his memories and fantasies.
Smultronstället,1957,"Drama, Romance",91 min,8.2,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
"Planes, Trains & Automobiles",1987,"Comedy, Drama",93 min,7.6,A man must struggle to travel home for Thanksgiving with a lovable oaf of a shower curtain ring salesman as his only companion.
All That Jazz,1979,"Drama, Music, Musical",123 min,7.9,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
Sanjuro,1962,"Action, Comedy, Crime",96 min,8.1,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent."
Moana,2016,"Animation, Adventure, Comedy",107 min,7.6,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
Rosemary's Baby,1968,"Drama, Horror",137 min,8.0,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.
Stagecoach,1939,"Adventure, Drama, Western",96 min,7.8,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
Trois couleurs: Rouge,1994,"Drama, Mystery, Romance",99 min,8.1,A model discovers a retired judge is keen on invading people's privacy.
Before Sunset,2004,"Drama, Romance",80 min,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
Notorious,1946,"Drama, Film-Noir, Romance",102 min,7.9,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?
Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",147 min,7.8,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
Stalag 17,1953,"Comedy, Drama, War",120 min,8.0,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer."
Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi",80 min,7.7,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
Office Space,1999,Comedy,89 min,7.7,Three company workers who hate their jobs decide to rebel against their greedy boss.
