Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
Låt den rätte komma in,2008,"Crime, Drama, Fantasy",114 min,7.9,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
The Apartment,1960,"Comedy, Drama, Romance",125 min,8.3,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
28 Days Later...,2002,"Drama, Horror, Sci-Fi",113 min,7.6,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
Nueve reinas,2000,"Crime, Drama, Thriller",114 min,7.9,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
Fried Green Tomatoes,1991,Drama,130 min,7.7,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
Vicky Donor,2012,"Comedy, Romance",126 min,7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
Metropolis,1927,"Drama, Sci-Fi",153 min,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
Lawrence of Arabia,1962,"Adventure, Biography, Drama",228 min,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
Thor: Ragnarok,2017,"Action, Adventure, Comedy",130 min,7.9,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
The Conversation,1974,"Drama, Mystery, Thriller",113 min,7.8,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
Dangal,2016,"Action, Biography, Drama",161 min,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
Cape Fear,1962,"Drama, Thriller",106 min,7.7,A lawyer's family is stalked by a man he once helped put in jail.
Zombieland,2009,"Adventure, Comedy, Fantasy",88 min,7.6,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",137 min,8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
Platoon,1986,"Drama, War",120 min,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
Hotaru no haka,1988,"Animation, Drama, War",89 min,8.5,A young boy and his little sister struggle to survive in Japan during World War II.
Darbareye Elly,2009,"Drama, Mystery",119 min,8.0,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
Portrait de la jeune fille en feu,2019,"Drama, Romance",122 min,8.1,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
The 39 Steps,1935,"Crime, Mystery, Thriller",86 min,7.6,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information."
Blue Velvet,1986,"Drama, Mystery, Thriller",120 min,7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
The Broken Circle Breakdown,2012,"Drama, Music, Romance",111 min,7.7,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
In the Name of the Father,1993,"Biography, Crime, Drama",133 min,8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
La Strada,1954,Drama,108 min,8.0,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way."
Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi",108 min,7.8,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
The Bridge on the River Kwai,1957,"Adventure, Drama, War",161 min,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it."
Her,2013,"Drama, Romance, Sci-Fi",126 min,8.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
Apollo 13,PG,"Adventure, Drama, History",140 min,7.6,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
There Will Be Blood,2007,Drama,158 min,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
Citizen Kane,1941,"Drama, Mystery",119 min,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
Good Bye Lenin!,2003,"Comedy, Drama, Romance",121 min,7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
Casablanca,1942,"Drama, Romance, War",102 min,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller",128 min,8.0,Story of 40-man Turkish task force who must defend a relay station.
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",153 min,7.6,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past."
Paan Singh Tomar,2012,"Action, Biography, Crime",135 min,8.2,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",101 min,7.9,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
Aladdin,1992,"Animation, Adventure, Comedy",90 min,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
Apocalypto,2006,"Action, Adventure, Drama",139 min,7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
The General,1926,"Action, Adventure, Comedy",67 min,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
Gisaengchung,2019,"Comedy, Drama, Thriller",132 min,8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Donnie Brasco,1997,"Biography, Crime, Drama",127 min,7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
Black Hawk Down,2001,"Drama, History, War",144 min,7.7,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.
Le dîner de cons,1998,Comedy,80 min,7.7,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise."
Der Himmel über Berlin,1987,"Drama, Fantasy, Romance",128 min,8.0,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.
La montaña sagrada,1973,"Adventure, Drama, Fantasy",114 min,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
Atonement,2007,"Drama, Mystery, Romance",123 min,7.8,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
The Pianist,2002,"Biography, Drama, Music",150 min,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
Höstsonaten,1978,"Drama, Music",99 min,8.2,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist."
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",92 min,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104 min,7.7,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
Night on Earth,1991,"Comedy, Drama",129 min,7.8,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
(500) Days of Summer,2009,"Comedy, Drama, Romance",95 min,7.7,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her."
A Man for All Seasons,1966,"Biography, Drama, History",120 min,7.7,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
Black,2005,Drama,122 min,8.2,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world."
Le samouraï,1967,"Crime, Drama, Mystery",105 min,8.1,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
Ang-ma-reul bo-at-da,2010,"Action, Crime, Drama",144 min,7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.
The Gentlemen,2019,"Action, Comedy, Crime",113 min,7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Midnight in Paris,2011,"Comedy, Fantasy, Romance",96 min,7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
One Flew Over the Cuckoo's Nest,1975,Drama,133 min,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
The Kid,1921,"Comedy, Drama, Family",68 min,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
Badhaai ho,2018,"Comedy, Drama",124 min,8.0,A man is embarrassed when he finds out his mother is pregnant.
Fargo,1996,"Crime, Drama, Thriller",98 min,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Ed Wood,1994,"Biography, Comedy, Drama",127 min,7.8,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent."
Dead Man,1995,"Adventure, Drama, Fantasy",121 min,7.6,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world."
All About Eve,1950,Drama,138 min,8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
Per qualche dollaro in più,1965,Western,132 min,8.3,Two bounty hunters with the same intentions team up to track down a Western outlaw.
The Boy in the Striped Pyjamas,2008,"Drama, History, War",94 min,7.8,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
Straight Outta Compton,2015,"Biography, Drama, History",147 min,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
To Kill a Mockingbird,1962,"Crime, Drama",129 min,8.2,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
Kakushi-toride no san-akunin,1958,"Adventure, Drama",139 min,8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
Changeling,2008,"Biography, Crime, Drama",141 min,7.7,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.
Shadow of a Doubt,1943,"Film-Noir, Thriller",108 min,7.8,"A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities."
Wind River,2017,"Crime, Drama, Mystery",107 min,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
Ghostbusters,1984,"Action, Comedy, Fantasy",105 min,7.8,Three former parapsychology professors set up shop as a unique ghost removal service.
Lethal Weapon,1987,"Action, Crime, Thriller",109 min,7.6,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.
Boogie Nights,1997,Drama,155 min,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
The Muppet Movie,1979,"Adventure, Comedy, Family",95 min,7.6,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit."
Nuovo Cinema Paradiso,1988,"Drama, Romance",155 min,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Celda 211,2009,"Action, Adventure, Crime",113 min,7.6,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal."
Der Untergang,2004,"Biography, Drama, History",156 min,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
Deliverance,1972,"Adventure, Drama, Thriller",109 min,7.7,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
Die Hard,1988,"Action, Thriller",132 min,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
The Bourne Identity,2002,"Action, Mystery, Thriller",119 min,7.9,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
Once Upon a Time in the West,1968,Western,165 min,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Omohide poro poro,1991,"Animation, Drama, Romance",118 min,7.6,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.
Finding Neverland,2004,"Biography, Drama, Family",106 min,7.6,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
Mulholland Dr.,2001,"Drama, Mystery, Thriller",147 min,7.9,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
The Hurricane,1999,"Biography, Drama, Sport",146 min,7.6,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence."
Bir Zamanlar Anadolu'da,2011,"Crime, Drama",157 min,7.9,A group of men set out in search of a dead body in the Anatolian steppes.
Chinatown,1974,"Drama, Mystery, Thriller",130 min,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
Scarface: The Shame of the Nation,1932,"Action, Crime, Drama",93 min,7.8,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
Dark Waters,2019,"Biography, Drama, History",126 min,7.6,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
Gran Torino,2008,Drama,116 min,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
La vita è bella,1997,"Comedy, Drama, Romance",116 min,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
Lola rennt,1998,"Crime, Drama, Thriller",81 min,7.6,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
Anatomy of a Murder,1959,"Crime, Drama, Mystery",161 min,8.0,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
Minority Report,2002,"Action, Crime, Mystery",145 min,7.6,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
Sin City,2005,"Crime, Thriller",124 min,8.0,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption."
Mary and Max,2009,"Animation, Comedy, Drama",92 min,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
The Departed,2006,"Crime, Drama, Thriller",151 min,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
The Bridges of Madison County,1995,"Drama, Romance",135 min,7.6,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",186 min,8.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
Isle of Dogs,2018,"Animation, Adventure, Comedy",101 min,7.9,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
Trois couleurs: Blanc,1994,"Comedy, Drama, Romance",92 min,7.6,"After his wife divorces him, a Polish immigrant plots to get even with her."
Enter the Dragon,1973,"Action, Crime, Drama",102 min,7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
Ordinary People,1980,Drama,124 min,7.7,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son."
Sherlock Jr.,1924,"Action, Comedy, Romance",45 min,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
Where Eagles Dare,1968,"Action, Adventure, War",158 min,7.7,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on."
Peeping Tom,1960,"Drama, Horror, Thriller",101 min,7.7,"A young man murders women, using a movie camera to film their dying expressions of terror."
Shaun of the Dead,2004,"Comedy, Horror",99 min,7.9,A man's uneventful life is disrupted by the zombie apocalypse.
Dazed and Confused,1993,Comedy,102 min,7.6,The adventures of high school and junior high students on the last day of school in May 1976.
Withnail & I,1987,"Comedy, Drama",107 min,7.7,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous."
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",184 min,7.8,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
Falling Down,1993,"Action, Crime, Drama",113 min,7.6,An ordinary man frustrated with the various flaws he sees in society begins to psychotically and violently lash out against them.
L.A. Confidential,1997,"Crime, Drama, Mystery",138 min,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Kick-Ass,2010,"Action, Comedy, Crime",117 min,7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
V for Vendetta,2005,"Action, Drama, Sci-Fi",132 min,8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
Happiness,1998,"Comedy, Drama",134 min,7.7,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
Blowup,1966,"Drama, Mystery, Thriller",111 min,7.6,A fashion photographer unknowingly captures a death on film after following two lovers in a park.
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",146 min,7.7,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
Taxi Driver,1976,"Crime, Drama",114 min,8.3,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",130 min,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi",115 min,7.8,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.
Reservoir Dogs,1992,"Crime, Drama, Thriller",99 min,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
The Last Picture Show,1971,"Drama, Romance",118 min,8.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
The Exorcist,1973,Horror,122 min,8.0,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
The Hangover,2009,Comedy,100 min,7.7,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
Loving Vincent,2017,"Animation, Biography, Crime",94 min,7.8,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there."
Lost in Translation,2003,"Comedy, Drama",102 min,7.7,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
Majo no takkyûbin,1989,"Animation, Adventure, Drama",103 min,7.8,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
Vertigo,1958,"Mystery, Romance, Thriller",128 min,8.3,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
Capharnaüm,2018,Drama,126 min,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Toy Story 3,2010,"Animation, Adventure, Comedy",103 min,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Do the Right Thing,1989,"Comedy, Drama",120 min,8.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
The Royal Tenenbaums,2001,"Comedy, Drama",110 min,7.6,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
PK,2014,"Comedy, Drama, Musical",153 min,8.1,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
What's Eating Gilbert Grape,1993,Drama,118 min,7.8,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
Rupan sansei: Kariosutoro no shiro,1979,"Animation, Adventure, Family",100 min,7.7,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to."
Death Note: Desu nôto,2006,"Crime, Drama, Fantasy",126 min,7.7,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals."
Inception,2010,"Action, Adventure, Sci-Fi",148 min,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
The Fifth Element,1997,"Action, Adventure, Sci-Fi",126 min,7.7,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
The Prestige,2006,"Drama, Mystery, Sci-Fi",130 min,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Brief Encounter,1945,"Drama, Romance",86 min,8.0,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
Shrek,2001,"Animation, Adventure, Comedy",90 min,7.8,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
Fa yeung nin wah,2000,"Drama, Romance",98 min,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Kumonosu-jô,1957,"Drama, History",110 min,8.1,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",132 min,7.7,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
Sound of Metal,2019,"Drama, Music",120 min,7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
Avatar,2009,"Action, Adventure, Fantasy",162 min,7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Me and Earl and the Dying Girl,2015,"Comedy, Drama",105 min,7.7,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
Incredibles 2,2018,"Animation, Action, Adventure",118 min,7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
Jurassic Park,1993,"Action, Adventure, Sci-Fi",127 min,8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery",144 min,7.8,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?"
Jungfrukällan,1960,Drama,89 min,8.1,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way."
Annie Hall,1977,"Comedy, Romance",93 min,8.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
Pan's Labyrinth,2006,"Drama, Fantasy, War",118 min,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
I Am Sam,2001,Drama,132 min,7.7,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
Les triplettes de Belleville,2003,"Animation, Comedy, Drama",80 min,7.8,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
Only the Brave,2017,"Action, Biography, Drama",134 min,7.6,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire."
L'avventura,1960,"Drama, Mystery",144 min,7.9,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
Mustang,2015,Drama,97 min,7.6,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged."
District 9,2009,"Action, Sci-Fi, Thriller",112 min,7.9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
The Wolf of Wall Street,2013,"Biography, Crime, Drama",180 min,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Up,2009,"Animation, Adventure, Comedy",96 min,8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Roma,2018,Drama,135 min,7.7,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
Lord of War,2005,"Action, Crime, Drama",122 min,7.6,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.
Nebraska,2013,"Adventure, Comedy, Drama",115 min,7.7,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
